site_id,band_index,wavelength_nm
bingham,242,1587.6600
bingham,243,1592.6600
bingham,244,1597.6600
bingham,245,1602.6600
bingham,246,1607.6600
bingham,247,1612.6600
bingham,248,1617.6600
bingham,249,1622.6600
bingham,250,1627.6600
bingham,251,1632.6600
bingham,252,1637.6600
bingham,253,1642.6600
bingham,254,1647.6600
bingham,255,1652.6600
bingham,256,1657.6600
bingham,257,1662.6600
bingham,258,1667.6600
bingham,259,1672.6600
bingham,260,1677.6600
bingham,261,1682.6600
bingham,262,1687.6500
bingham,263,1692.6500
bingham,264,1697.6500
bingham,265,1702.6500
bingham,266,1707.6400
bingham,267,1712.6400
bingham,268,1717.6400
bingham,269,1722.6400
bingham,270,1727.6300
bingham,271,1732.6300
bingham,272,1737.6200
bingham,273,1742.6200
bingham,274,1747.6200
bingham,275,1752.6100
bingham,276,1757.6100
bingham,277,1762.6000
bingham,278,1767.6000
bingham,279,1772.5900
bingham,280,1777.5900
bingham,281,1782.5800
bingham,282,1787.5800
bingham,283,1792.5699
bingham,284,1797.5601
bingham,285,1802.5601
bingham,286,1807.5500
bingham,287,1812.5400
bingham,288,1817.5400
bingham,289,1822.5300
bingham,290,1827.5200
bingham,291,1832.5100
bingham,292,1837.5100
bingham,293,1842.5000
bingham,294,1847.4900
bingham,295,1852.4800
bingham,296,1857.4700
bingham,297,1862.4600
bingham,298,1867.4500
bingham,299,1872.4399
bingham,300,1877.4301
bingham,301,1882.4200
bingham,302,1887.4100
bingham,303,1892.4000
bingham,304,1897.3900
bingham,305,1902.3800
bingham,306,1907.3700
bingham,307,1912.3600
bingham,308,1917.3500
bingham,309,1922.3300
bingham,310,1927.3199
bingham,311,1932.3101
bingham,312,1937.3000
bingham,313,1942.2800
bingham,314,1947.2700
bingham,315,1952.2600
bingham,316,1957.2400
bingham,317,1962.2300
bingham,318,1967.2100
bingham,319,1972.2000
bingham,320,1977.1801
bingham,321,1982.1700
bingham,322,1987.1500
bingham,323,1992.1400
bingham,324,1997.1200
bingham,325,2002.1000
bingham,326,2007.0900
bingham,327,2012.0699
bingham,328,2017.0500
bingham,329,2022.0400
bingham,330,2027.0200
bingham,331,2032.0000
bingham,332,2036.9800
bingham,333,2041.9600
bingham,334,2046.9500
bingham,335,2051.9299
bingham,336,2056.9099
bingham,337,2061.8899
bingham,338,2066.8701
bingham,339,2071.8501
bingham,340,2076.8301
bingham,341,2081.8101
bingham,342,2086.7900
bingham,343,2091.7600
bingham,344,2096.7400
bingham,345,2101.7200
bingham,346,2106.7000
bingham,347,2111.6699
bingham,348,2116.6499
bingham,349,2121.6299
bingham,350,2126.6001
bingham,351,2131.5801
bingham,352,2136.5601
bingham,353,2141.5300
bingham,354,2146.5100
bingham,355,2151.4800
bingham,356,2156.4600
bingham,357,2161.4299
bingham,358,2166.4099
bingham,359,2171.3799
bingham,360,2176.3501
bingham,361,2181.3301
bingham,362,2186.3000
bingham,363,2191.2700
bingham,364,2196.2400
bingham,365,2201.2200
bingham,366,2206.1899
bingham,367,2211.1599
bingham,368,2216.1299
bingham,369,2221.1001
bingham,370,2226.0701
bingham,371,2231.0400
bingham,372,2236.0100
bingham,373,2240.9800
bingham,374,2245.9500
bingham,375,2250.9199
bingham,376,2255.8899
bingham,377,2260.8601
bingham,378,2265.8201
bingham,379,2270.7900
bingham,380,2275.7600
bingham,381,2280.7300
bingham,382,2285.6899
bingham,383,2290.6599
bingham,384,2295.6201
bingham,385,2300.5901
bingham,386,2305.5601
bingham,387,2310.5200
bingham,388,2315.4900
bingham,389,2320.4500
bingham,390,2325.4099
bingham,391,2330.3799
bingham,392,2335.3401
bingham,393,2340.3101
bingham,394,2345.2700
bingham,395,2350.2300
bingham,396,2355.1899
bingham,397,2360.1599
bingham,398,2365.1201
bingham,399,2370.0801
bingham,400,2375.0400
bingham,401,2380.0000
bingham,402,2384.9700
bingham,403,2389.9299
bingham,404,2394.8899
bingham,405,2399.8501
bingham,406,2404.8101
bingham,407,2409.7700
bingham,408,2414.7200
bingham,409,2419.6799
bingham,410,2424.6399
bingham,411,2429.6001
bingham,412,2434.5601
bingham,413,2439.5200
bingham,414,2444.4800
bingham,415,2449.4299
bingham,416,2454.3899
bingham,417,2459.3501
bingham,418,2464.3101
bingham,419,2469.2600
bingham,420,2474.2200
bingham,421,2479.1799
bingham,422,2484.1299
bingham,423,2489.0901
bingham,424,2494.0400
bingham,425,2499.0000
goldfield,0,376.6200
goldfield,1,381.5900
goldfield,2,386.5600
goldfield,3,391.5200
goldfield,4,396.4900
goldfield,5,401.4600
goldfield,6,406.4300
goldfield,7,411.4100
goldfield,8,416.3800
goldfield,9,421.3600
goldfield,10,426.3300
goldfield,11,431.3100
goldfield,12,436.2800
goldfield,13,441.2600
goldfield,14,446.2400
goldfield,15,451.2200
goldfield,16,456.2000
goldfield,17,461.1800
goldfield,18,466.1700
goldfield,19,471.1500
goldfield,20,476.1400
goldfield,21,481.1200
goldfield,22,486.1100
goldfield,23,491.0900
goldfield,24,496.0800
goldfield,25,501.0700
goldfield,26,506.0600
goldfield,27,511.0500
goldfield,28,516.0400
goldfield,29,521.0300
goldfield,30,526.0200
goldfield,31,531.0100
goldfield,32,536.0000
goldfield,33,541.0000
goldfield,34,545.9900
goldfield,35,550.9900
goldfield,36,555.9800
goldfield,37,560.9800
goldfield,38,565.9700
goldfield,39,570.9700
goldfield,40,575.9700
goldfield,41,580.9700
goldfield,42,585.9700
goldfield,43,590.9700
goldfield,44,595.9600
goldfield,45,600.9600
goldfield,46,605.9600
goldfield,47,610.9700
goldfield,48,615.9700
goldfield,49,620.9700
goldfield,50,625.9700
goldfield,51,630.9700
goldfield,52,635.9800
goldfield,53,640.9800
goldfield,54,645.9800
goldfield,55,650.9900
goldfield,56,655.9900
goldfield,57,661.0000
goldfield,58,666.0000
goldfield,59,671.0100
goldfield,60,676.0100
goldfield,61,681.0200
goldfield,62,686.0300
goldfield,63,691.0300
goldfield,64,696.0400
goldfield,65,701.0500
goldfield,66,706.0600
goldfield,67,711.0600
goldfield,68,716.0700
goldfield,69,721.0800
goldfield,70,726.0900
goldfield,71,731.1000
goldfield,72,736.1100
goldfield,73,741.1200
goldfield,74,746.1300
goldfield,75,751.1400
goldfield,76,756.1500
goldfield,77,761.1600
goldfield,78,766.1700
goldfield,79,771.1800
goldfield,80,776.1900
goldfield,81,781.2000
goldfield,82,786.2100
goldfield,83,791.2200
goldfield,84,796.2300
goldfield,85,801.2500
goldfield,86,806.2600
